Unnamed: 0,Año,Trimestre,Provincia,Velocidad_Media,Objetivo_KPI
184,2021,1,Salta,2.732,186.86
185,2021,1,San Juan,691.0,72455.0
186,2021,1,San Luis,2.159,126.69500000000001
187,2021,1,Santa Cruz,750.0,78650.0
188,2021,1,Santa Fe,2.813,195.365
189,2021,1,Santiago Del Estero,1.158,21.589999999999996
190,2021,1,Tierra Del Fuego,873.0,91565.00000000001
191,2021,1,Tucumán,3.798,298.79
192,2020,4,Buenos Aires,5.001,31.276250000000005
193,2020,4,Capital Federal,6.733,76.74125000000001
194,2020,4,Catamarca,3.765,-1.1687499999999962
195,2020,4,Chaco,3.245,-14.81874999999999
196,2020,4,Chubut,738.0,19272.5
197,2020,4,Córdoba,3.512,-7.809999999999995
198,2020,4,Corrientes,2.545,-33.19375
199,2020,4,Entre Ríos,2.405,-36.868750000000006
200,2020,4,Formosa,1.97,-48.287499999999994
201,2020,4,Jujuy,2.521,-33.82375
202,2020,4,La Pampa,988.0,25835.000000000004
203,2020,4,La Rioja,1.253,-67.10875
204,2020,4,Mendoza,1.109,-70.88875
205,2020,4,Misiones,2.496,-34.48
206,2020,4,Neuquén,3.391,-10.986249999999998
207,2020,4,Río Negro,2.164,-43.19499999999999
208,2020,4,Salta,2.532,-33.53499999999999
209,2020,4,San Juan,641.0,16726.25
210,2020,4,San Luis,2.125,-44.21874999999999
211,2020,4,Santa Cruz,749.0,19561.25
212,2020,4,Santa Fe,2.729,-28.36375
213,2020,4,Santiago Del Estero,1.128,-70.39
214,2020,4,Tierra Del Fuego,849.0,22186.25
215,2020,4,Tucumán,3.644,-4.344999999999988
216,2020,3,Buenos Aires,4.838,69.33000000000001
217,2020,3,Capital Federal,6.381,123.33500000000004
218,2020,3,Catamarca,3.654,27.889999999999997
219,2020,3,Chaco,3.08,7.800000000000014
220,2020,3,Chubut,740.0,25800.0
221,2020,3,Córdoba,3.351,17.285000000000007
222,2020,3,Corrientes,2.385,-16.525000000000002
223,2020,3,Entre Ríos,2.243,-21.494999999999997
224,2020,3,Formosa,1.828,-36.01999999999999
225,2020,3,Jujuy,2.191,-23.315000000000005
226,2020,3,La Pampa,1.07,-62.55
227,2020,3,La Rioja,1.219,-57.334999999999994
228,2020,3,Mendoza,1.019,-64.335
229,2020,3,Misiones,2.414,-15.509999999999987
230,2020,3,Neuquén,3.146,10.110000000000003
231,2020,3,Río Negro,2.108,-26.22
232,2020,3,Salta,2.526,-11.590000000000005
233,2020,3,San Juan,603.0,21005.0
234,2020,3,San Luis,2.085,-27.025000000000006
235,2020,3,Santa Cruz,665.0,23175.0
236,2020,3,Santa Fe,2.569,-10.085000000000004
237,2020,3,Santiago Del Estero,1.088,-61.919999999999995
