,Unnamed: 0,Año,Trimestre,Provincia,Accesos por cada 100 hogares
209,209,2020,4,San Juan,"36,32"
210,210,2020,4,San Luis,"81,68"
211,211,2020,4,Santa Cruz,"37,00"
212,212,2020,4,Santa Fe,"73,58"
213,213,2020,4,Santiago Del Estero,"43,75"
214,214,2020,4,Tierra Del Fuego,"76,27"
215,215,2020,4,Tucumán,"54,78"
216,216,2020,3,Buenos Aires,"67,66"
217,217,2020,3,Capital Federal,"107,68"
218,218,2020,3,Catamarca,"47,16"
219,219,2020,3,Chaco,"41,54"
220,220,2020,3,Chubut,"68,34"
221,221,2020,3,Córdoba,"75,22"
222,222,2020,3,Corrientes,"41,75"
223,223,2020,3,Entre Ríos,"58,19"
224,224,2020,3,Formosa,"31,91"
225,225,2020,3,Jujuy,"54,04"
226,226,2020,3,La Pampa,"79,26"
227,227,2020,3,La Rioja,"50,12"
228,228,2020,3,Mendoza,"37,35"
229,229,2020,3,Misiones,"41,60"
230,230,2020,3,Neuquén,"65,24"
231,231,2020,3,Río Negro,"57,05"
232,232,2020,3,Salta,"52,32"
233,233,2020,3,San Juan,"38,79"
234,234,2020,3,San Luis,"79,96"
235,235,2020,3,Santa Cruz,"35,95"
236,236,2020,3,Santa Fe,"72,12"
237,237,2020,3,Santiago Del Estero,"43,38"
238,238,2020,3,Tierra Del Fuego,"76,81"
239,239,2020,3,Tucumán,"53,23"
240,240,2020,2,Buenos Aires,"65,22"
241,241,2020,2,Capital Federal,"106,41"
242,242,2020,2,Catamarca,"45,43"
243,243,2020,2,Chaco,"39,83"
244,244,2020,2,Chubut,"57,34"
245,245,2020,2,Córdoba,"72,71"
246,246,2020,2,Corrientes,"40,30"
247,247,2020,2,Entre Ríos,"56,54"
248,248,2020,2,Formosa,"31,14"
249,249,2020,2,Jujuy,"47,89"
250,250,2020,2,La Pampa,"76,10"
251,251,2020,2,La Rioja,"49,84"
252,252,2020,2,Mendoza,"36,25"
253,253,2020,2,Misiones,"40,89"
254,254,2020,2,Neuquén,"63,90"
255,255,2020,2,Río Negro,"56,37"
256,256,2020,2,Salta,"51,58"
257,257,2020,2,San Juan,"35,09"
258,258,2020,2,San Luis,"78,41"
259,259,2020,2,Santa Cruz,"35,79"
260,260,2020,2,Santa Fe,"70,00"
261,261,2020,2,Santiago Del Estero,"43,47"
262,262,2020,2,Tierra Del Fuego,"76,37"
263,263,2020,2,Tucumán,"51,78"
264,264,2020,1,Buenos Aires,"64,33"
265,265,2020,1,Capital Federal,"105,98"
266,266,2020,1,Catamarca,"37,62"
267,267,2020,1,Chaco,"37,48"
268,268,2020,1,Chubut,"51,27"
269,269,2020,1,Córdoba,"70,69"
270,270,2020,1,Corrientes,"38,73"
271,271,2020,1,Entre Ríos,"56,12"
272,272,2020,1,Formosa,"30,23"
273,273,2020,1,Jujuy,"46,67"
274,274,2020,1,La Pampa,"75,77"
275,275,2020,1,La Rioja,"46,35"
276,276,2020,1,Mendoza,"33,14"
277,277,2020,1,Misiones,"39,02"
278,278,2020,1,Neuquén,"61,85"
279,279,2020,1,Río Negro,"55,12"
280,280,2020,1,Salta,"49,60"
281,281,2020,1,San Juan,"32,39"
282,282,2020,1,San Luis,"76,31"
283,283,2020,1,Santa Cruz,"35,97"
284,284,2020,1,Santa Fe,"69,52"
285,285,2020,1,Santiago Del Estero,"42,47"
286,286,2020,1,Tierra Del Fuego,"76,07"
287,287,2020,1,Tucumán,"47,85"
288,288,2019,4,Buenos Aires,"64,25"
289,289,2019,4,Capital Federal,"106,25"
290,290,2019,4,Catamarca,"36,44"
291,291,2019,4,Chaco,"36,84"
292,292,2019,4,Chubut,"51,15"
293,293,2019,4,Córdoba,"70,48"
294,294,2019,4,Corrientes,"38,77"
295,295,2019,4,Entre Ríos,"57,99"
296,296,2019,4,Formosa,"30,47"
297,297,2019,4,Jujuy,"45,38"
298,298,2019,4,La Pampa,"76,92"
299,299,2019,4,La Rioja,"47,14"
300,300,2019,4,Mendoza,"33,65"
301,301,2019,4,Misiones,"39,79"
302,302,2019,4,Neuquén,"59,36"
303,303,2019,4,Río Negro,"55,71"
304,304,2019,4,Salta,"50,35"
305,305,2019,4,San Juan,"32,85"
306,306,2019,4,San Luis,"74,92"
307,307,2019,4,Santa Cruz,"36,71"
308,308,2019,4,Santa Fe,"69,48"
309,309,2019,4,Santiago Del Estero,"42,92"
310,310,2019,4,Tierra Del Fuego,"79,70"
311,311,2019,4,Tucumán,"47,65"
312,312,2019,3,Buenos Aires,"69,36"
313,313,2019,3,Capital Federal,"112,65"
314,314,2019,3,Catamarca,"30,88"
315,315,2019,3,Chaco,"35,85"
316,316,2019,3,Chubut,"47,57"
317,317,2019,3,Córdoba,"68,59"
318,318,2019,3,Corrientes,"38,49"
319,319,2019,3,Entre Ríos,"57,90"
320,320,2019,3,Formosa,"30,11"
321,321,2019,3,Jujuy,"44,32"
322,322,2019,3,La Pampa,"77,45"
323,323,2019,3,La Rioja,"47,94"
324,324,2019,3,Mendoza,"40,74"
325,325,2019,3,Misiones,"39,33"
326,326,2019,3,Neuquén,"64,14"
327,327,2019,3,Río Negro,"63,42"
328,328,2019,3,Salta,"44,48"
329,329,2019,3,San Juan,"37,06"
330,330,2019,3,San Luis,"85,23"
331,331,2019,3,Santa Cruz,"35,63"
332,332,2019,3,Santa Fe,"68,87"
333,333,2019,3,Santiago Del Estero,"55,30"
334,334,2019,3,Tierra Del Fuego,"96,46"
335,335,2019,3,Tucumán,"39,49"
336,336,2019,2,Buenos Aires,"67,85"
337,337,2019,2,Capital Federal,"110,55"
338,338,2019,2,Catamarca,"32,13"
339,339,2019,2,Chaco,"34,14"
340,340,2019,2,Chubut,"46,99"
341,341,2019,2,Córdoba,"68,07"
342,342,2019,2,Corrientes,"38,16"
343,343,2019,2,Entre Ríos,"57,48"
344,344,2019,2,Formosa,"30,42"
345,345,2019,2,Jujuy,"44,51"
346,346,2019,2,La Pampa,"77,08"
347,347,2019,2,La Rioja,"48,70"
348,348,2019,2,Mendoza,"40,75"
349,349,2019,2,Misiones,"39,15"
350,350,2019,2,Neuquén,"63,08"
351,351,2019,2,Río Negro,"61,09"
352,352,2019,2,Salta,"41,89"
353,353,2019,2,San Juan,"35,60"
354,354,2019,2,San Luis,"81,79"
355,355,2019,2,Santa Cruz,"28,85"
356,356,2019,2,Santa Fe,"67,42"
357,357,2019,2,Santiago Del Estero,"52,79"
358,358,2019,2,Tierra Del Fuego,"94,80"
359,359,2019,2,Tucumán,"40,14"
360,360,2019,1,Buenos Aires,"66,24"
361,361,2019,1,Capital Federal,"109,20"
362,362,2019,1,Catamarca,"32,19"
363,363,2019,1,Chaco,"32,64"
364,364,2019,1,Chubut,"43,00"
365,365,2019,1,Córdoba,"65,52"
366,366,2019,1,Corrientes,"35,13"
367,367,2019,1,Entre Ríos,"56,79"
368,368,2019,1,Formosa,"29,68"
369,369,2019,1,Jujuy,"46,41"
370,370,2019,1,La Pampa,"76,35"
371,371,2019,1,La Rioja,"50,18"
372,372,2019,1,Mendoza,"37,66"
373,373,2019,1,Misiones,"36,26"
374,374,2019,1,Neuquén,"58,88"
375,375,2019,1,Río Negro,"53,57"
376,376,2019,1,Salta,"40,10"
377,377,2019,1,San Juan,"31,83"
378,378,2019,1,San Luis,"67,34"
379,379,2019,1,Santa Cruz,"23,67"
380,380,2019,1,Santa Fe,"66,97"
381,381,2019,1,Santiago Del Estero,"37,52"
382,382,2019,1,Tierra Del Fuego,"93,38"
383,383,2019,1,Tucumán,"41,63"
384,384,2018,4,Buenos Aires,"64,60"
385,385,2018,4,Capital Federal,"108,27"
386,386,2018,4,Catamarca,"32,23"
387,387,2018,4,Chaco,"32,59"
388,388,2018,4,Chubut,"42,61"
389,389,2018,4,Córdoba,"65,09"
390,390,2018,4,Corrientes,"34,57"
391,391,2018,4,Entre Ríos,"54,37"
392,392,2018,4,Formosa,"29,74"
393,393,2018,4,Jujuy,"46,53"
394,394,2018,4,La Pampa,"73,49"
395,395,2018,4,La Rioja,"50,35"
396,396,2018,4,Mendoza,"37,76"
397,397,2018,4,Misiones,"34,45"
398,398,2018,4,Neuquén,"59,07"
399,399,2018,4,Río Negro,"51,86"
400,400,2018,4,Salta,"39,80"
401,401,2018,4,San Juan,"31,90"
402,402,2018,4,San Luis,"67,55"
403,403,2018,4,Santa Cruz,"23,69"
404,404,2018,4,Santa Fe,"65,59"
405,405,2018,4,Santiago Del Estero,"37,40"
406,406,2018,4,Tierra Del Fuego,"93,59"
407,407,2018,4,Tucumán,"41,76"
408,408,2018,3,Buenos Aires,"64,44"
409,409,2018,3,Capital Federal,"108,45"
410,410,2018,3,Catamarca,"32,92"
411,411,2018,3,Chaco,"32,28"
412,412,2018,3,Chubut,"56,39"
413,413,2018,3,Córdoba,"64,24"
414,414,2018,3,Corrientes,"34,25"
415,415,2018,3,Entre Ríos,"50,22"
416,416,2018,3,Formosa,"29,58"
417,417,2018,3,Jujuy,"23,26"
418,418,2018,3,La Pampa,"71,75"
419,419,2018,3,La Rioja,"50,73"
420,420,2018,3,Mendoza,"37,99"
421,421,2018,3,Misiones,"32,10"
422,422,2018,3,Neuquén,"60,49"
423,423,2018,3,Río Negro,"50,54"
424,424,2018,3,Salta,"39,43"
425,425,2018,3,San Juan,"33,05"
426,426,2018,3,San Luis,"52,35"
427,427,2018,3,Santa Cruz,"32,73"
428,428,2018,3,Santa Fe,"63,41"
429,429,2018,3,Santiago Del Estero,"36,25"
430,430,2018,3,Tierra Del Fuego,"92,77"
431,431,2018,3,Tucumán,"41,68"
432,432,2018,2,Buenos Aires,"62,78"
433,433,2018,2,Capital Federal,"106,53"
434,434,2018,2,Catamarca,"32,86"
435,435,2018,2,Chaco,"31,25"
436,436,2018,2,Chubut,"54,90"
437,437,2018,2,Córdoba,"63,27"
438,438,2018,2,Corrientes,"33,81"
439,439,2018,2,Entre Ríos,"49,20"
440,440,2018,2,Formosa,"29,43"
441,441,2018,2,Jujuy,"23,43"
442,442,2018,2,La Pampa,"71,04"
443,443,2018,2,La Rioja,"50,98"
444,444,2018,2,Mendoza,"36,97"
445,445,2018,2,Misiones,"31,63"
446,446,2018,2,Neuquén,"60,24"
447,447,2018,2,Río Negro,"50,15"
448,448,2018,2,Salta,"39,94"
449,449,2018,2,San Juan,"32,95"
450,450,2018,2,San Luis,"15,15"
451,451,2018,2,Santa Cruz,"33,33"
452,452,2018,2,Santa Fe,"62,57"
453,453,2018,2,Santiago Del Estero,"35,26"
454,454,2018,2,Tierra Del Fuego,"91,61"
455,455,2018,2,Tucumán,"41,51"
456,456,2018,1,Buenos Aires,"62,63"
457,457,2018,1,Capital Federal,"106,24"
458,458,2018,1,Catamarca,"32,79"
459,459,2018,1,Chaco,"30,83"
460,460,2018,1,Chubut,"53,72"
461,461,2018,1,Córdoba,"63,52"
462,462,2018,1,Corrientes,"32,66"
463,463,2018,1,Entre Ríos,"48,68"
464,464,2018,1,Formosa,"21,40"
465,465,2018,1,Jujuy,"23,12"
466,466,2018,1,La Pampa,"71,75"
467,467,2018,1,La Rioja,"51,44"
468,468,2018,1,Mendoza,"37,07"
469,469,2018,1,Misiones,"30,96"
470,470,2018,1,Neuquén,"61,52"
471,471,2018,1,Río Negro,"49,82"
472,472,2018,1,Salta,"39,78"
473,473,2018,1,San Juan,"32,61"
474,474,2018,1,San Luis,"15,15"
475,475,2018,1,Santa Cruz,"33,55"
476,476,2018,1,Santa Fe,"62,28"
477,477,2018,1,Santiago Del Estero,"34,99"
478,478,2018,1,Tierra Del Fuego,"65,20"
479,479,2018,1,Tucumán,"41,18"
480,480,2017,4,Buenos Aires,"57,61"
481,481,2017,4,Capital Federal,"122,90"
482,482,2017,4,Catamarca,"28,62"
483,483,2017,4,Chaco,"30,81"
484,484,2017,4,Chubut,"51,46"
485,485,2017,4,Córdoba,"63,33"
486,486,2017,4,Corrientes,"32,52"
487,487,2017,4,Entre Ríos,"47,89"
488,488,2017,4,Formosa,"21,27"
489,489,2017,4,Jujuy,"22,74"
490,490,2017,4,La Pampa,"71,05"
491,491,2017,4,La Rioja,"51,57"
492,492,2017,4,Mendoza,"33,33"
493,493,2017,4,Misiones,"31,14"
494,494,2017,4,Neuquén,"61,24"
495,495,2017,4,Río Negro,"49,38"
496,496,2017,4,Salta,"39,80"
497,497,2017,4,San Juan,"30,30"
498,498,2017,4,San Luis,"10,59"
499,499,2017,4,Santa Cruz,"28,91"
500,500,2017,4,Santa Fe,"61,71"
501,501,2017,4,Santiago Del Estero,"29,13"
